Futterart;Bestand;code;Aufwuchs;Stadium;TS [g];NEL    [MJ];NEV   [MJ];UE [MJ];APDE [g];APDN [g];OS [g];RP [g];RF [g];NDF [g];ADF   [g];Zucker [g];vOS [%];aRP [%];RA [g];Ca [g];P [g];Mg [g];K [g];Na [g];Cl  [g];S  [g];Cu  [mg];Fe  [mg];Mn  [mg];Zn  [mg];Co  [mg];Se  [mg]; [];Lysin [g/kg TS];Methionin [g/kg TS];Leucin [g/kg TS];Histidin [g/kg TS];Phenylalanin [g/kg TS];Threonin [g/kg TS];Isoleucin [g/kg TS];Valin [g/kg TS];Arginin [g/kg TS]
Grünfutter;G;G11-v;erster;1;150;7.1;7.5;11.9;121.0;153.8;904;230.5;172.4;387;202;209.1;84.1;74;95.9;5.1;3.8;1.8;28.5;0.2;3.1;2.1;8.9;200;77;29;0.15;0.02;;9.6;3.0;14.0;3.3;8.8;7.9;6.8;9.3;9.5
Grünfutter;G;G12-v;erster;2;150;6.9;7.3;11.6;114.9;131.8;904;197.4;200.4;416;224;164.4;83.0;72;95.1;5.1;3.6;1.6;27.9;0.2;3.4;1.9;7.6;125;67;26;0.05;0.02;;8.7;2.7;12.4;3.0;7.8;7.1;6.2;8.2;8.7
Grünfutter;G;G13-v;erster;3;160;6.3;6.5;10.7;102.1;99.3;910;149.2;236.9;469;260;160.9;77.9;68;89.5;5.1;3.4;1.4;26.4;0.3;3.4;1.6;6.6;125;59;24;0.05;0.02;;7.3;2.3;10.4;2.6;6.5;5.9;5.2;7.0;7.3
Grünfutter;G;G14-v;erster;4;170;5.8;5.9;10.0;91.6;80.5;913;121.6;275.1;516;302;123.6;72.5;66;87.7;5.1;3.1;1.3;24.0;0.2;3.3;1.4;5.8;125;52;22;0.05;0.02;;5.8;2.0;8.3;2.0;5.2;4.8;4.1;5.7;5.8
Grünfutter;G;G15-v;erster;5;190;5.2;5.1;9.1;82.2;68.2;915;103.5;293.7;539;324;121.1;66.1;64;85.0;5.1;2.8;1.2;20.6;0.2;2.9;1.2;5.2;75;46;20;0.05;0.02;;4.6;1.5;6.6;1.6;4.1;3.8;3.2;4.4;4.5
Grünfutter;GR;GR11-v;erster;1;130;6.9;7.3;11.6;114.9;129.5;908;193.9;157.2;345;184;290.3;83.4;72;91.9;5.1;3.8;1.8;28.5;0.2;4.3;2.1;8.2;200;57;27;0.15;0.02;;8.8;3.0;13.2;3.1;8.2;7.4;6.3;8.7;8.9
Grünfutter;GR;GR12-v;erster;2;140;7.0;7.4;11.7;113.7;121.7;906;182.4;177.4;366;201;232.7;84.3;71;91.4;5.1;3.6;1.6;27.9;0.2;4.6;1.9;6.9;125;48;25;0.05;0.02;;7.5;2.7;11.0;2.6;8.0;7.3;6.2;7.9;8.5
Grünfutter;GR;GR13-v;erster;3;150;6.7;7.0;11.2;104.0;94.5;913;142.2;207.4;406;230;240.8;81.6;67;86.3;5.1;3.4;1.4;26.4;0.3;4.6;1.6;5.9;125;40;22;0.05;0.02;;6.6;2.4;9.5;2.3;6.7;6.2;5.5;6.9;7.3
Grünfutter;GR;GR14-v;erster;4;170;6.4;6.6;10.8;94.0;73.0;916;110.6;241.9;459;270;200.7;77.9;64;84.3;5.1;3.1;1.3;24.0;0.2;4.5;1.4;5.1;125;33;20;0.05;0.02;;5.7;2.0;8.5;2.1;5.3;4.8;4.2;5.7;5.9
Grünfutter;GR;GR15-v;erster;5;210;5.7;5.8;9.9;84.1;60.5;919;92.2;272.7;498;302;175.4;71.5;62;81.3;5.1;2.8;1.2;20.6;0.2;4.1;1.2;4.5;75;26;19;0.05;0.02;;4.5;1.4;6.5;1.6;4.0;3.7;3.2;4.4;4.5
