Code;Bezeichnung;Leistung_Einheit;Kosten_CHF_h;Treibstoff_CHF_h;Flaechenleistung_ha_h
1000;Traktoren (Standard);;0.0;0.0;1.0
1001;Traktor 30–36 kW (41–49 PS);33 kW;27.0;7.25;1.0
1002;Traktor 37–44 kW (50–60 PS);41 kW;33.0;9.0;25.0
1003;Traktor 45–54 kW (61–73 PS);50 kW;34.0;10.98;25.0
1004;Traktor 55–64 kW (74–87 PS);60 kW;40.0;13.18;25.0
1005;Traktor 65–74 kW (88–101 PS);70 kW;43.0;15.37;25.0
1006;Traktor 75–89 kW (102–121 PS);82 kW;49.0;18.77;25.0
1010;Traktor 90–104 kW (122–142 PS);97 kW;61.0;22.21;20.0
1011;Traktor 105–124 kW (143–169 PS);115 kW;69.0;26.33;20.0
1012;Traktor 125–149 kW (171–203 PS);137 kW;83.0;31.37;20.0
1013;Traktor 150–199 kW (204–271 PS);175 kW;100.0;40.07;20.0
1014;Traktor 200–250 kW (272–340 PS);225 kW;130.0;51.51;20.0
1020;Doppelbereifung / Frontausrüstung / Lenksysteme;;0.0;0.0;1.0
1021;Doppelbereifung zu Traktor, bis 64 kW (87 PS), vorne, 9.5 R 24/20; ;2.7;0.0;1.0
1022;Doppelbereifung zu Traktor, bis 64 kW (87 PS), hinten, 230/95 R 40/30; ;4.1;0.0;50.0
1023;Doppelbereifung zu Traktor, ab 65 kW (88 PS), vorne, 270/95 R 32/24; ;3.4;0.0;50.0
1024;Doppelbereifung zu Traktor, ab 65 kW (88 PS), hinten, 230/95 R 44/34; ;4.2;0.0;50.0
1025;Fronthydraulik mit Zapfwelle; ;2.5;0.0;50.0
1026;"Automatisches Lenksystem, mit Terminal 12"", GPS/RTK";;5.7;0.0;1.0
1030;Traktoren mit Forstausrüstung;;0.0;0.0;1.0
1032;Forsttraktor 110 kW (150 PS);90 kW;100.0;24.71;20.0
1040;Schmalspurtraktoren (Obstbau, Weinbau);;0.0;0.0;1.0
1043;Schmalspurtraktor, 4-Radantrieb, 37 kW (50 PS);30 kW;34.0;6.59;20.0
1044;Schmalspurtraktor, 4-Radantrieb, 45 kW (61 PS);45 kW;39.0;9.88;20.0
1045;Schmalspurtraktor, 4-Radantrieb, 55 kW (75 PS);55 kW;49.0;12.08;20.0
1046;Schmalspurtraktor, 4-Radantrieb, 70 kW (95 PS);70 kW;60.0;15.37;20.0
1050;Spezialtraktoren und Raupenfahrzeuge;;0.0;0.0;1.0
1051;Traktor mit Knicklenkung, 40 kW (55 PS);40 kW;47.0;8.78;1.0
1052;Traktor mit Knicklenkung, 50 kW (68 PS);50 kW;58.0;10.98;20.0
1053;Traktor mit Knicklenkung, 65 kW (88 PS);65 kW;63.0;14.27;20.0
1058;Raupentransporter mit Brücke, Benzin, 4 kW (5 PS);4 kW;21.0;2.45;20.0
1059;Trägerfahrzeug mit Raupen, Diesel, 18 kW (24 PS);15 kW;37.0;5.76;20.0
1060;Trägerfahrzeug mit Raupen, mit Hubwerk, Diesel, 25 kW (34 PS);25 kW;43.0;8.24;20.0
1061;Trägerfahrzeug mit Raupen, mit Hubwerk, Diesel, 44 kW (60 PS);44 kW;59.0;9.66;20.0
1062;Gemüsebau-Geräteträger, Diesel, 68 kW (92 PS);40 a/h;70.0;0.0;0.4
1070;Zweiachsmäher (Hanggeräteträger);;0.0;0.0;20.0
1071;Zweiachsmäher, Diesel, 30 kW (41 PS);30 kW;51.0;6.59;20.0
1072;Zweiachsmäher, Diesel, 35 kW (48 PS);35 kW;52.0;7.69;1.0
1073;Zweiachsmäher, Diesel, 45 kW (61 PS);45 kW;53.0;9.88;1.0
1074;Zweiachsmäher, Diesel, 55 kW (75 PS);55 kW;62.0;12.08;1.0
1075;Zweiachsmäher, Diesel, 70 kW (95 PS);70 kW;67.0;15.37;20.0
1080;Transporter ;;0.0;0.0;20.0
1084;Transporter, Diesel, 40 kW (54 PS);40 kW;54.0;8.78;20.0
1085;Transporter, Diesel, 50 kW (68 PS);50 kW;59.0;10.98;1.0
1086;Transporter, Diesel, 55 kW (75 PS);55 kW;58.0;12.08;1.0
1087;Transporter, Diesel, 80 kW (109 PS);80 kW;76.0;17.57;1.0
1090;Doppelbereifung vorne/hinten zu Transporter oder Zweiachsmäher; ;2.3;0.0;20.0
1100;Umschlagmaschinen;;0.0;0.0;20.0
1101;Hof-, Kompaktlader mit Mistgabel, Diesel, 20 kW (27 PS);20 kW;35.0;4.39;20.0
1102;Hof-, Kompaktlader mit Mistgabel, Diesel, 44 kW (60 PS);44 kW;54.0;9.66;20.0
1103;Teleskoplader, 50 kW (68 PS), 2.5 t, ohne Anbau;50 kW;50.0;10.98;20.0
1104;Teleskoplader, 75 kW (102 PS), 2.5–3.4 t, ohne Anbau;75 kW;58.0;16.47;50.0
1106;Teleskoplader, 90 kW (122 PS), > 3.4 t, ohne Anbau;90 kW;62.0;19.76;1.0
1105;Hubstapler, selbstfahrend, Benzin, 15 kW (20 PS);15 kW;19.0;3.29;1.0
1110;Umschlagmaschinen, elektrisch;;0.0;0.0;20.0
1111;Hoflader, elektrisch, 10–15 kW (15–20 PS), ohne Anbau;13 KW;34.0;3.77;20.0
1112;Hoflader, elektrisch, 15–20 kW (20–25 PS), ohne Anbau;18 kW;38.0;5.22;20.0
1113;Teleskop-Radlader, elektrisch, 20–25 kW (27–34 PS), ohne Anbau;25 kW;52.0;7.25;20.0
1114;Teleskoplader, elektrisch, 50–65 kW (67–87 PS), ohne Anbau;58 kW;67.0;16.82;1.0
1115;Kompaktlader, elektrisch 20–30 kW (27–40 PS);20 kW;45.0;5.8;1.0
1119;Hubstapler, selbstfahrend, Elektromotor, 1.5 t ;15 kW;23.0;4.35;1.0
1120;Motormäher und übrige Motoreinachser (Geräteträger), Schneefräse;;0.0;0.0;2.0
1121;Motormäher, 1.6 m Balken, Benzin, 6.6 kW (9 PS);33 a/h;33.0;0.0;0.33
1122;Motormäher, 1.9 m Balken, Benzin, 10 kW (13 PS);50 a/h;56.0;0.0;0.5
1123;Motormäher, 1.9 m Balken, Benzin, 10 kW (14 PS), mit Hangausrüstung;50 a/h;57.0;0.0;0.5
1130;Motormäher, 2.3 m Balken, Benzin, 12 kW (16 PS), mit Hangausrüstung, Doppelmessermähwerk;80 a/h;88.0;0.0;0.8
1131;Motormäher, 2.6–3.5 m Balken, Benzin, 20 kW (27 PS) mit Hangausrüstung, Doppelmessermähwerk;100 a/h;110.0;0.0;1.0
1124;Kleinmäher für Rebbau, Benzin, 5 kW (7 PS);5 kW;17.0;3.5;20.0
1125;Einachser Benzin, 6 kW (9 PS);6 kW;15.0;3.15;20.0
1126;Einachser Benzin, 17 kW (23 PS);8 kW;28.0;4.2;20.0
1127;Einachser Benzin, hydraulischer Antrieb, 10 kW (14 PS);10 kW;20.0;5.25;1.0
