Lebensmittel;N2-PS;Menge (g);Prot. dekl. (g);Leucin (g);Kalorien;WID %;FAO-DIAAS;N2-DIAAS
Kuhmilch, flüssig;1;930;30;2.6;520;96;115;120
Kasein, Konzentrat (85 %);1.06;37;32;3.3;132;96;113;118
Feta-Käse;1.17;214;35;3;523;99;111;113
Schinken, gepökelt, gekocht;1.25;158;38;2.6;221;97;107;128
Kasein, mizellar (80 %);1.26;46;38;3.8;160;97;125;132
Speck, geräuchert, gekocht;1.27;112;38;2.9;546;97;121;148
Rinderfilet, gebraten, medium (63 °C);1.27;130;38;2.8;206;100;110;129
Buntbarsch, gekocht (weisser Fisch);1.29;139;39;2.7;160;96;105;123
Joghurt, mager, ungesüsst;1.3;753;39;3.9;318;95;114;121
Ribeye, gebraten, medium (64 °C);1.31;149;39;2.8;406;96;116;135
Cheddar;1.31;158;39;3;604;99;109;122
Schweinefilet, gebraten, medium (63 °C);1.33;167;40;2.8;234;97;105;126
Schweinefilet, gebraten, medium (68 °C);1.34;130;40;2.6;224;97;100;120
Schweinefilet, gebraten, well done (72 °C);1.34;121;40;2.7;223;97;100;120
Lachs, gebraten;1.35;195;41;2.7;366;98;106;123
Hühnerei, ganz, gekocht;1.37;279;41;2.7;389;92;99;113
Rindsburger, 7 % Fett, gebraten;1.37;149;41;2.7;373;97;101;119
Huhn, Brust, gekocht;1.38;121;41;2.7;168;97;100;118
Pork Burger, 20 % Fett, gebraten;1.4;214;42;2.7;582;98;101;113
Rindfleisch, gehackt, roh;1.4;232;42;2.7;676;99;103;121
Truthahn, Brust, gebraten (74 °C);1.42;149;43;2.7;156;95;102;120
Speck, roh, geräuchert;1.42;223;43;2.7;599;97;100;122
Kartoffelprotein, Isolat (80 %);1.49;56;45;4;199;92;122;133
Ribeye, gebraten, medium rare (56 °C);1.51;186;45;2.7;418;98;95;110
Salami;1.53;270;46;2.9;539;97;103;121
Ribeye, gebraten, well done (72 °C);1.55;177;46;2.6;566;98;91;105
Garnelen, geschält, gekocht;1.59;400;48;3.3;163;97;87;106
Hühnerei, Eiweiss, getrocknet (85 %);1.6;56;48;3;175;84;102;111
Quorn, gekocht;1.63;390;49;2.8;365;88;95;118
Rindsburger, 20 % Fett, gebraten;1.64;205;49;2.9;614;94;94;110
Molkenprotein, Konzentrat (70 %);1.67;67;50;5.1;243;95;101;106
Beef Jerky;1.67;102;50;3.5;293;97;105;123
Rindfleisch, gehackt, gebraten;1.7;167;51;2.7;317;97;85;100
Molkenprotein, Isolat (90 %);1.76;59;53;5.4;214;97;95;100
Reis, braun, gekocht;1.8;1,711;54;3.3;2,077;88;64;73
Quinoa, gekocht;1.8;1,088;54;2.7;1,244;94;74;90
Reis, weiss, gekocht;1.8;1,924;54;3.6;2,488;92;64;75
Bohnen, grün, gegart;1.96;2,956;59;3.5;996;84;88;103
Buchweizen, gekocht;1.99;1,738;60;2.6;5,911;86;72;84
Muscheln, Grünschalen, gegart;2.13;474;64;3;545;96;75;91
Karotten, gegart;2.15;7,028;64;3;2,459;80;69;86
Kichererbsen, gelb, Konserve;2.24;976;67;3.7;1,297;85;78;91
Sensational Burger (Soja), gekocht;2.31;428;69;4;695;92;87;97
Navy Bohnen (weiss), gekocht;2.36;911;71;5.1;1,269;87;77;89
